% Picked,Current Value,Driver Name,Price Change,Season Points
26.00,$27.7M,Max Verstappen,$0.0M,0
21.00,$27.4M,George Russell,$0.0M,0
11.00,$27.2M,Lando Norris,$0.0M,0
16.00,$25.5M,Oscar Piastri,$0.0M,0
16.00,$23.2M,Kimi Antonelli,$0.0M,0
32.00,$22.8M,Charles Leclerc,$0.0M,0
15.00,$22.5M,Lewis Hamilton,$0.0M,0
32.00,$15.1M,Isack Hadjar,$0.0M,0
14.00,$12.0M,Pierre Gasly,$0.0M,0
35.00,$11.8M,Carlos Sainz,$0.0M,0
12.00,$11.6M,Alexander Albon,$0.0M,0
11.00,$10.0M,Fernando Alonso,$0.0M,0
3.00,$8.0M,Lance Stroll,$0.0M,0
56.00,$7.4M,Oliver Bearman,$0.0M,0
15.00,$7.3M,Esteban Ocon,$0.0M,0
40.00,$6.8M,Nico Hulkenberg,$0.0M,0
23.00,$6.5M,Liam Lawson,$0.0M,0
24.00,$6.4M,Gabriel Bortoleto,$0.0M,0
27.00,$6.2M,Arvid Lindblad,$0.0M,0
15.00,$6.2M,Franco Colapinto,$0.0M,0
25.00,$6.0M,Sergio Perez,$0.0M,0
30.00,$5.9M,Valtteri Bottas,$0.0M,0
