% Picked,Current Value,Driver Name,Price Change,Season Points
23.00,$28.0M,Max Verstappen,$0.3M,50
28.00,$27.7M,George Russell,$0.3M,39
17.00,$23.5M,Kimi Antonelli,$0.3M,32
32.00,$23.1M,Charles Leclerc,$0.3M,29
15.00,$22.6M,Lewis Hamilton,$0.1M,25
9.00,$27.1M,Lando Norris,-$0.1M,21
57.00,$8.0M,Oliver Bearman,$0.6M,20
44.00,$6.8M,Arvid Lindblad,$0.6M,15
33.00,$7.0M,Gabriel Bortoleto,$0.6M,13
13.00,$12.2M,Pierre Gasly,$0.2M,11
28.00,$11.6M,Carlos Sainz,-$0.2M,9
14.00,$7.9M,Esteban Ocon,$0.6M,9
10.00,$11.4M,Alexander Albon,-$0.2M,8
14.00,$6.4M,Franco Colapinto,$0.2M,6
23.00,$6.3M,Liam Lawson,-$0.2M,5
21.00,$5.8M,Sergio Perez,-$0.2M,4
36.00,$14.5M,Isack Hadjar,-$0.6M,8
13.00,$25.2M,Oscar Piastri,-$0.3M,14
9.00,$9.4M,Fernando Alonso,-$0.6M,14
24.00,$5.3M,Valtteri Bottas,-$0.6M,16
35.00,$6.2M,Nico Hulkenberg,-$0.6M,20
3.00,$7.4M,Lance Stroll,-$0.6M,23
