# 2025 pre-season constructor starting prices ($M) — verify against f1fantasytools.com
# Format: constructor_name,price
# Constructor name must match Team.name in the DB exactly (check with the DB query below)
# Query to see team names: python manage.py shell -c "from core.models import Team; print([t.name for t in Team.objects.filter(season__year=2024)])"
Red Bull Racing,25.2
Ferrari,27.1
McLaren,30
Mercedes,22.7
Aston Martin,8.5
Alpine,9.5
Williams,13.1
Racing Bulls,8
Haas F1 Team,7.0
Kick Sauber,6.2
