Driver Name,Driver Value,Race,Event Type,Scoring Item,Frequency,Position,Points,Race Total,Season Total
Lando Norris,$30.5M,Australia,race,Driver Of The Day,,,10,59,663
Lando Norris,$30.5M,Australia,race,Race Position,,1,25,59,663
Lando Norris,$30.5M,Australia,qualifying,Qualifying Position,,1,10,59,663
Lando Norris,$30.5M,Australia,race,Race Fastest Lap,,,10,59,663
Lando Norris,$30.5M,Australia,race,Race Overtake Bonus,4,,4,59,663
Lando Norris,$30.5M,China,sprint,Sprint Positions Lost,2,,-2,41,663
Lando Norris,$30.5M,China,sprint,Sprint Overtake Bonus,1,,1,41,663
Lando Norris,$30.5M,China,race,Race Position,,2,18,41,663
Lando Norris,$30.5M,China,qualifying,Qualifying Position,,3,8,41,663
Lando Norris,$30.5M,China,sprint,Sprint Position,,8,1,41,663
Lando Norris,$30.5M,China,race,Race Positions Gained,1,,1,41,663
Lando Norris,$30.5M,China,race,Race Fastest Lap,,,10,41,663
Lando Norris,$30.5M,China,race,Race Overtake Bonus,4,,4,41,663
Lando Norris,$30.5M,Japan,race,Race Position,,2,18,27,663
Lando Norris,$30.5M,Japan,qualifying,Qualifying Position,,2,9,27,663
Lando Norris,$30.5M,Bahrain,race,Race Position,,3,15,32,663
Lando Norris,$30.5M,Bahrain,qualifying,Qualifying Position,,6,5,32,663
Lando Norris,$30.5M,Bahrain,race,Race Positions Gained,3,,3,32,663
Lando Norris,$30.5M,Bahrain,race,Race Overtake Bonus,9,,9,32,663
Lando Norris,$30.5M,Saudi Arabia,race,Race Position,,4,12,36,663
Lando Norris,$30.5M,Saudi Arabia,qualifying,Qualifying Position,,10,1,36,663
Lando Norris,$30.5M,Saudi Arabia,race,Race Positions Gained,6,,6,36,663
Lando Norris,$30.5M,Saudi Arabia,race,Race Fastest Lap,,,10,36,663
Lando Norris,$30.5M,Saudi Arabia,race,Race Overtake Bonus,7,,7,36,663
Lando Norris,$30.5M,United States,sprint,Sprint Positions Gained,2,,2,55,663
Lando Norris,$30.5M,United States,sprint,Sprint Overtake Bonus,1,,1,55,663
